Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
11,19/07/2013,82.06,3.556,1554.05,1169.85,68.06,373.45,1046.13,,,False
11,26/07/2013,85.64,3.62,2387.21,717.2,106.7,1084.84,3264.52,,,False
12,05/02/2010,49.47,2.962,,,,,,126.4420645,13.975,False
12,12/02/2010,47.87,2.946,,,,,,126.4962581,13.975,True
12,19/02/2010,54.83,2.915,,,,,,126.5262857,13.975,False
12,26/02/2010,50.23,2.825,,,,,,126.5522857,13.975,False
12,05/03/2010,53.77,2.987,,,,,,126.5782857,13.975,False
12,12/03/2010,50.11,2.925,,,,,,126.6042857,13.975,False
12,19/03/2010,59.57,3.054,,,,,,126.6066452,13.975,False
12,26/03/2010,60.06,3.083,,,,,,126.6050645,13.975,False
12,02/04/2010,59.84,3.086,,,,,,126.6034839,14.099,False
12,09/04/2010,59.25,3.09,,,,,,126.6019032,14.099,False
12,16/04/2010,64.95,3.109,,,,,,126.5621,14.099,False
12,23/04/2010,64.55,3.05,,,,,,126.4713333,14.099,False
12,30/04/2010,67.38,3.105,,,,,,126.3805667,14.099,False
12,07/05/2010,70.15,3.127,,,,,,126.2898,14.099,False
12,14/05/2010,68.44,3.145,,,,,,126.2085484,14.099,False
12,21/05/2010,76.2,3.12,,,,,,126.1843871,14.099,False
12,28/05/2010,67.84,3.058,,,,,,126.1602258,14.099,False
12,04/06/2010,81.39,2.941,,,,,,126.1360645,14.099,False
12,11/06/2010,90.84,2.949,,,,,,126.1119032,14.099,False
12,18/06/2010,81.06,3.043,,,,,,126.114,14.099,False
12,25/06/2010,87.27,3.084,,,,,,126.1266,14.099,False
12,02/07/2010,91.98,3.105,,,,,,126.1392,14.18,False
12,09/07/2010,90.37,3.1,,,,,,126.1518,14.18,False
12,16/07/2010,97.18,3.094,,,,,,126.1498065,14.18,False
12,23/07/2010,99.22,3.112,,,,,,126.1283548,14.18,False
12,30/07/2010,96.31,3.017,,,,,,126.1069032,14.18,False
12,06/08/2010,92.95,3.123,,,,,,126.0854516,14.18,False
12,13/08/2010,87.01,3.159,,,,,,126.064,14.18,False
12,20/08/2010,92.81,3.041,,,,,,126.0766452,14.18,False
12,27/08/2010,93.19,3.129,,,,,,126.0892903,14.18,False
12,03/09/2010,83.12,3.087,,,,,,126.1019355,14.18,False
12,10/09/2010,83.63,3.044,,,,,,126.1145806,14.18,True
12,17/09/2010,82.45,3.028,,,,,,126.1454667,14.18,False
12,24/09/2010,81.77,2.939,,,,,,126.1900333,14.18,False
12,01/10/2010,85.2,3.001,,,,,,126.2346,14.313,False
12,08/10/2010,71.82,3.013,,,,,,126.2791667,14.313,False
12,15/10/2010,75.0,2.976,,,,,,126.3266774,14.313,False
12,22/10/2010,68.85,3.014,,,,,,126.3815484,14.313,False
12,29/10/2010,61.09,3.016,,,,,,126.4364194,14.313,False
12,05/11/2010,65.49,3.129,,,,,,126.4912903,14.313,False
12,12/11/2010,57.79,3.13,,,,,,126.5461613,14.313,False
12,19/11/2010,58.18,3.161,,,,,,126.6072,14.313,False
12,26/11/2010,47.66,3.162,,,,,,126.6692667,14.313,True
12,03/12/2010,43.33,3.041,,,,,,126.7313333,14.313,False
12,10/12/2010,50.01,3.203,,,,,,126.7934,14.313,False
12,17/12/2010,52.77,3.236,,,,,,126.8794839,14.313,False
