Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
22,05/07/2013,75.13,3.643,10445.17,2347.05,376.2,6679.54,859.63,,,False
22,12/07/2013,77.78,3.645,3289.92,1101.45,27.7,1801.7,1244.52,,,False
22,19/07/2013,80.67,3.803,1117.95,1068.78,192.45,374.0,835.61,,,False
22,26/07/2013,74.25,3.879,329.08,769.49,16.95,33.83,1043.07,,,False
23,05/02/2010,15.25,2.788,,,,,,131.5279032,5.892,False
23,12/02/2010,18.75,2.771,,,,,,131.5866129,5.892,True
23,19/02/2010,26.7,2.747,,,,,,131.637,5.892,False
23,26/02/2010,32.68,2.753,,,,,,131.686,5.892,False
23,05/03/2010,33.15,2.766,,,,,,131.735,5.892,False
23,12/03/2010,36.07,2.805,,,,,,131.784,5.892,False
23,19/03/2010,43.01,2.834,,,,,,131.8242903,5.892,False
23,26/03/2010,38.59,2.831,,,,,,131.863129,5.892,False
23,02/04/2010,40.5,2.826,,,,,,131.9019677,5.435,False
23,09/04/2010,56.82,2.849,,,,,,131.9408065,5.435,False
23,16/04/2010,44.25,2.885,,,,,,131.9809,5.435,False
23,23/04/2010,46.4,2.895,,,,,,132.0226667,5.435,False
23,30/04/2010,45.47,2.935,,,,,,132.0644333,5.435,False
23,07/05/2010,61.04,2.981,,,,,,132.1062,5.435,False
23,14/05/2010,45.33,2.983,,,,,,132.152129,5.435,False
23,21/05/2010,57.94,2.961,,,,,,132.2230323,5.435,False
23,28/05/2010,69.26,2.906,,,,,,132.2939355,5.435,False
23,04/06/2010,64.94,2.857,,,,,,132.3648387,5.435,False
23,11/06/2010,58.35,2.83,,,,,,132.4357419,5.435,False
23,18/06/2010,60.29,2.805,,,,,,132.4733333,5.435,False
23,25/06/2010,69.83,2.81,,,,,,132.4976,5.435,False
23,02/07/2010,64.76,2.815,,,,,,132.5218667,5.326,False
23,09/07/2010,77.16,2.806,,,,,,132.5461333,5.326,False
23,16/07/2010,73.94,2.796,,,,,,132.5667742,5.326,False
23,23/07/2010,70.2,2.784,,,,,,132.5825806,5.326,False
23,30/07/2010,69.71,2.792,,,,,,132.5983871,5.326,False
