Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
44,07/06/2013,67.49,3.779,1169.72,,4.86,76.2,516.85,,,False
44,14/06/2013,76.41,3.771,351.38,,4.89,6.35,867.28,,,False
44,21/06/2013,70.49,3.74,94.88,,1.82,,806.75,,,False
44,28/06/2013,75.24,3.726,712.49,,,,706.46,,,False
44,05/07/2013,85.58,3.696,869.96,,56.83,,1977.42,,,False
44,12/07/2013,78.93,3.666,182.25,,6.63,,1842.48,,,False
44,19/07/2013,80.81,3.665,118.82,,3.15,,514.08,,,False
44,26/07/2013,83.62,3.669,134.31,,1.0,,199.75,,,False
45,05/02/2010,27.31,2.784,,,,,,181.8711898,8.992,False
45,12/02/2010,27.73,2.773,,,,,,181.982317,8.992,True
45,19/02/2010,31.27,2.745,,,,,,182.0347816,8.992,False
45,26/02/2010,34.89,2.754,,,,,,182.0774691,8.992,False
45,05/03/2010,37.13,2.777,,,,,,182.1201566,8.992,False
45,12/03/2010,45.8,2.818,,,,,,182.1628441,8.992,False
45,19/03/2010,48.79,2.844,,,,,,182.0779857,8.992,False
45,26/03/2010,54.36,2.854,,,,,,181.9718697,8.992,False
45,02/04/2010,47.74,2.85,,,,,,181.8657537,8.899,False
45,09/04/2010,65.45,2.869,,,,,,181.7596377,8.899,False
45,16/04/2010,54.28,2.899,,,,,,181.6924769,8.899,False
45,23/04/2010,53.47,2.902,,,,,,181.6772564,8.899,False
45,30/04/2010,53.15,2.921,,,,,,181.6620359,8.899,False
45,07/05/2010,70.75,2.966,,,,,,181.6468154,8.899,False
45,14/05/2010,54.26,2.982,,,,,,181.6612792,8.899,False
45,21/05/2010,62.62,2.958,,,,,,181.8538486,8.899,False
45,28/05/2010,69.27,2.899,,,,,,182.0464181,8.899,False
45,04/06/2010,75.93,2.847,,,,,,182.2389876,8.899,False
45,11/06/2010,69.71,2.809,,,,,,182.4315571,8.899,False
45,18/06/2010,72.62,2.78,,,,,,182.4424199,8.899,False
45,25/06/2010,79.32,2.808,,,,,,182.3806,8.899,False
45,02/07/2010,76.61,2.815,,,,,,182.3187801,8.743,False
45,09/07/2010,82.45,2.793,,,,,,182.2569603,8.743,False
45,16/07/2010,77.84,2.783,,,,,,182.2604411,8.743,False
45,23/07/2010,81.46,2.771,,,,,,182.3509895,8.743,False
45,30/07/2010,79.78,2.781,,,,,,182.4415378,8.743,False
45,06/08/2010,77.17,2.784,,,,,,182.5320862,8.743,False
45,13/08/2010,78.44,2.805,,,,,,182.6226346,8.743,False
45,20/08/2010,76.01,2.779,,,,,,182.6165205,8.743,False
45,27/08/2010,71.36,2.755,,,,,,182.6104063,8.743,False
45,03/09/2010,78.37,2.715,,,,,,182.6042922,8.743,False
45,10/09/2010,70.87,2.699,,,,,,182.598178,8.743,True
45,17/09/2010,66.55,2.706,,,,,,182.622509,8.743,False
45,24/09/2010,68.59,2.713,,,,,,182.6696737,8.743,False
45,01/10/2010,70.58,2.707,,,,,,182.7168385,8.724,False
45,08/10/2010,56.49,2.764,,,,,,182.7640032,8.724,False
45,15/10/2010,58.61,2.868,,,,,,182.8106203,8.724,False
45,22/10/2010,53.15,2.917,,,,,,182.8558685,8.724,False
45,29/10/2010,61.3,2.921,,,,,,182.9011166,8.724,False
45,05/11/2010,45.65,2.917,,,,,,182.9463648,8.724,False
45,12/11/2010,46.14,2.931,,,,,,182.9916129,8.724,False
45,19/11/2010,50.02,3.0,,,,,,182.8989385,8.724,False
45,26/11/2010,46.15,3.039,,,,,,182.7832769,8.724,True
45,03/12/2010,40.93,3.046,,,,,,182.6676154,8.724,False
