Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
17,14/10/2011,47.69,3.567,,,,,,129.7706452,6.617,False
17,21/10/2011,47.27,3.579,,,,,,129.7821613,6.617,False
17,28/10/2011,41.89,3.567,,,,,,129.7936774,6.617,False
17,04/11/2011,37.52,3.538,,,,,,129.8051935,6.617,False
17,11/11/2011,27.61,3.513,3935.0,4172.99,225.67,2515.61,3009.79,129.8167097,6.617,False
17,18/11/2011,32.93,3.489,6004.88,247.29,32.39,653.49,4391.01,129.8268333,6.617,False
17,25/11/2011,32.81,3.445,310.16,181.17,62095.85,106.24,1292.3,129.8364,6.617,True
17,02/12/2011,26.47,3.389,5562.36,222.94,16380.88,2303.32,17707.05,129.8459667,6.617,False
17,09/12/2011,17.56,3.341,8530.15,,29.6,840.04,6700.99,129.8555333,6.617,False
17,16/12/2011,21.07,3.282,3356.86,0.03,38.78,1286.21,2618.88,129.8980645,6.617,False
17,23/12/2011,18.76,3.186,945.5,35.63,1077.82,57.64,2404.82,129.9845484,6.617,False
17,30/12/2011,26.73,3.119,4439.21,42391.85,120.08,1366.9,2383.67,130.0710323,6.617,True
17,06/01/2012,27.64,3.08,5185.45,12090.5,33.9,1490.06,4832.68,130.1575161,6.403,False
17,13/01/2012,20.28,3.056,1552.86,3911.73,0.52,542.24,1709.97,130.244,6.403,False
17,20/01/2012,27.26,3.047,1461.59,577.33,,442.39,1407.74,130.2792258,6.403,False
17,27/01/2012,29.99,3.058,1834.7,684.22,,118.0,1109.1,130.3144516,6.403,False
17,03/02/2012,26.26,3.077,32793.78,5509.47,38.96,35785.26,4518.58,130.3496774,6.403,False
17,10/02/2012,23.63,3.116,5658.48,13498.72,16.27,4292.59,6008.71,130.3849032,6.403,True
17,17/02/2012,30.76,3.119,10862.6,14264.11,2.64,8459.96,4740.08,130.4546207,6.403,False
17,24/02/2012,30.01,3.145,8628.93,3368.34,,3876.56,4378.82,130.5502069,6.403,False
17,02/03/2012,26.28,3.242,14469.08,1163.89,37.38,8771.3,2237.79,130.6457931,6.403,False
17,09/03/2012,32.02,3.38,3944.86,104.91,2.16,550.85,3717.62,130.7413793,6.403,False
17,16/03/2012,43.69,3.529,6373.65,46.13,1.02,1938.3,1278.79,130.8261935,6.403,False
17,23/03/2012,40.69,3.671,5060.41,42.99,,315.1,1399.39,130.8966452,6.403,False
17,30/03/2012,45.29,3.734,8337.43,74.41,6.0,418.13,3444.54,130.9670968,6.403,False
17,06/04/2012,43.92,3.793,11072.17,,43.74,2299.75,4192.05,131.0375484,6.235,False
17,13/04/2012,46.94,3.833,2328.03,6989.17,3.6,895.75,1545.65,131.108,6.235,False
17,20/04/2012,47.69,3.845,2570.29,1288.35,2.1,341.52,2157.85,131.1173333,6.235,False
17,27/04/2012,59.11,3.842,1832.86,,1.62,8.94,2211.39,131.1266667,6.235,False
17,04/05/2012,48.86,3.831,10140.57,,181.65,2709.84,1859.33,131.136,6.235,False
17,11/05/2012,49.96,3.809,6288.63,,22.59,997.55,1266.73,131.1453333,6.235,False
17,18/05/2012,59.67,3.808,3847.57,,92.93,1216.19,2403.0,131.0983226,6.235,False
17,25/05/2012,55.69,3.801,5528.92,,71.81,595.85,2754.3,131.0287742,6.235,False
17,01/06/2012,54.13,3.788,3996.22,25.0,31.8,1667.66,881.3,130.9592258,6.235,False
17,08/06/2012,60.51,3.776,6233.58,140.2,328.34,763.88,4501.73,130.8896774,6.235,False
17,15/06/2012,56.67,3.756,6069.6,147.0,0.18,1949.47,1373.68,130.8295333,6.235,False
17,22/06/2012,62.9,3.737,3500.33,466.98,,1789.53,2980.58,130.7929,6.235,False
17,29/06/2012,71.14,3.681,2895.23,281.3,,357.75,1195.05,130.7562667,6.235,False
17,06/07/2012,68.91,3.63,9824.36,128.0,25.38,3990.35,3618.23,130.7196333,5.936,False
17,13/07/2012,72.94,3.595,5814.57,64.9,0.18,1807.43,1705.19,130.683,5.936,False
17,20/07/2012,70.59,3.556,2836.48,34.2,20.25,738.75,1189.5,130.7012903,5.936,False
17,27/07/2012,74.2,3.537,4345.01,57.6,7.79,3965.83,6114.63,130.7195806,5.936,False
17,03/08/2012,72.94,3.512,13721.83,56.6,8.34,12343.79,1797.84,130.737871,5.936,False
17,10/08/2012,73.29,3.509,3711.96,9.2,4.42,2316.51,1613.36,130.7561613,5.936,False
17,17/08/2012,70.98,3.545,1833.19,5.6,0.81,1344.67,1707.05,130.7909677,5.936,False
17,24/08/2012,68.89,3.582,3255.74,6.0,50.17,3022.22,3782.36,130.8381613,5.936,False
17,31/08/2012,68.07,3.624,11235.99,,2.73,3648.33,1964.35,130.8853548,5.936,False
17,07/09/2012,61.99,3.689,13396.45,,18.08,1299.65,1333.12,130.9325484,5.936,True
17,14/09/2012,59.64,3.749,5620.89,,13.95,260.46,4585.25,130.9776667,5.936,False
17,21/09/2012,58.43,3.821,6035.13,1.91,14.5,859.64,6132.91,131.0103333,5.936,False
17,28/09/2012,57.77,3.821,4716.69,,9.0,1925.91,1643.33,131.043,5.936,False
17,05/10/2012,52.81,3.815,3029.6,,,2246.04,3033.47,131.0756667,5.527,False
17,12/10/2012,44.82,3.797,1171.21,,3.58,371.84,3776.18,131.1083333,5.527,False
17,19/10/2012,48.16,3.781,708.27,,1.4,14.01,1328.57,131.1499677,5.527,False
17,26/10/2012,39.94,3.755,5593.69,112.2,,134.13,748.23,131.1930968,5.527,False
17,02/11/2012,42.44,3.702,7478.97,8749.51,17.92,2157.65,851.55,131.2362258,5.527,False
17,09/11/2012,42.61,3.663,21255.03,8427.53,25.52,556.83,1809.12,131.2793548,5.527,False
17,16/11/2012,28.61,3.612,7925.53,35.84,86.23,505.53,4800.52,131.3258,5.527,False
17,23/11/2012,39.65,3.562,1078.12,,95047.19,278.16,197.98,131.3766667,5.527,True
17,30/11/2012,33.56,3.524,1963.55,,3244.1,138.15,6126.74,131.4275333,5.527,False
17,07/12/2012,38.92,3.456,6489.6,,245.0,625.01,9873.61,131.4784,5.527,False
17,14/12/2012,29.89,3.379,1744.74,,47.0,54.18,984.26,131.537,5.527,False
17,21/12/2012,23.83,3.263,4617.06,,211.0,13.76,1754.77,131.642,5.527,False
17,28/12/2012,23.98,3.147,11343.3,32976.15,265.2,80.35,658.71,131.747,5.527,True
17,04/01/2013,2.45,3.066,1878.66,24590.65,9.59,39.47,1809.83,131.852,5.275,False
17,11/01/2013,16.27,2.982,3734.33,6076.96,5.66,40.81,1252.82,131.957,5.275,False
17,18/01/2013,0.25,2.914,3800.17,691.28,3.98,354.12,1362.12,132.030871,5.275,False
17,25/01/2013,11.15,2.927,2758.83,971.75,0.2,122.23,673.73,132.0922903,5.275,False
17,01/02/2013,28.23,3.029,17447.15,696.14,123.2,26529.19,1695.28,132.1537097,5.275,False
17,08/02/2013,26.01,3.192,72850.3,230.57,172.79,28593.78,4407.64,132.215129,5.275,True
17,15/02/2013,23.29,3.323,8104.65,1350.4,18.06,2610.48,5087.07,132.2725714,5.275,False
17,22/02/2013,25.32,3.459,6623.86,717.71,11.16,1035.95,2574.72,132.3200714,5.275,False
17,01/03/2013,20.33,3.521,2175.77,22.09,9.6,95.2,704.59,132.3675714,5.275,False
17,08/03/2013,30.08,3.526,16526.87,29.92,52.31,4306.06,6176.34,132.4150714,5.275,False
17,15/03/2013,35.68,3.518,8692.55,,8.7,813.16,981.25,132.4668065,5.275,False
17,22/03/2013,34.72,3.518,7266.77,,2316.0,643.92,1948.0,132.529129,5.275,False
17,29/03/2013,33.64,3.518,7629.38,,622.0,27.87,1336.41,132.5914516,5.275,False
17,05/04/2013,48.5,3.547,9204.71,3375.4,160.76,1374.77,1386.85,132.6537742,5.213,False
17,12/04/2013,41.34,3.576,3056.54,298.37,56.91,381.14,1908.6,132.7160968,5.213,False
17,19/04/2013,36.22,3.559,2457.88,62.25,74.64,239.61,457.84,132.7160968,5.213,False
17,26/04/2013,42.46,3.541,1641.7,,47.2,40.32,484.15,132.7160968,5.213,False
17,03/05/2013,48.09,3.535,6547.87,86.96,118.83,1861.64,1332.69,,,False
17,10/05/2013,54.74,3.543,2928.35,82.96,32.21,438.28,5389.83,,,False
17,17/05/2013,63.32,3.609,3303.25,83.8,8.06,636.6,3708.61,,,False
17,24/05/2013,52.33,3.72,4914.05,34.94,498.83,518.74,2859.77,,,False
17,31/05/2013,53.72,3.773,1494.86,73.3,59.08,77.3,462.12,,,False
17,07/06/2013,59.66,3.779,8132.18,139.84,121.3,4348.0,1981.59,,,False
17,14/06/2013,66.68,3.771,3377.69,278.62,891.2,469.78,1316.6,,,False
17,21/06/2013,60.76,3.74,3738.14,90.11,179.59,931.31,4749.6,,,False
17,28/06/2013,65.44,3.726,4265.68,439.36,3.0,718.88,2876.28,,,False
17,05/07/2013,75.91,3.696,13086.7,1086.84,591.59,4976.92,1792.37,,,False
17,12/07/2013,70.58,3.666,5140.83,1419.41,67.81,804.06,1482.83,,,False
17,19/07/2013,71.65,3.665,1022.5,719.02,110.1,582.92,988.61,,,False
17,26/07/2013,71.41,3.669,64.25,423.39,11.0,73.46,921.75,,,False
18,05/02/2010,21.33,2.788,,,,,,131.5279032,9.202,False
18,12/02/2010,26.41,2.771,,,,,,131.5866129,9.202,True
18,19/02/2010,30.91,2.747,,,,,,131.637,9.202,False
18,26/02/2010,35.42,2.753,,,,,,131.686,9.202,False
18,05/03/2010,37.17,2.766,,,,,,131.735,9.202,False
18,12/03/2010,42.39,2.805,,,,,,131.784,9.202,False
18,19/03/2010,45.42,2.834,,,,,,131.8242903,9.202,False
18,26/03/2010,47.55,2.831,,,,,,131.863129,9.202,False
18,02/04/2010,45.63,2.826,,,,,,131.9019677,9.269,False
18,09/04/2010,59.91,2.849,,,,,,131.9408065,9.269,False
18,16/04/2010,50.26,2.885,,,,,,131.9809,9.269,False
18,23/04/2010,50.3,2.895,,,,,,132.0226667,9.269,False
18,30/04/2010,51.12,2.935,,,,,,132.0644333,9.269,False
18,07/05/2010,65.64,2.981,,,,,,132.1062,9.269,False
18,14/05/2010,49.9,2.983,,,,,,132.152129,9.269,False
18,21/05/2010,60.27,2.961,,,,,,132.2230323,9.269,False
18,28/05/2010,69.12,2.906,,,,,,132.2939355,9.269,False
18,04/06/2010,70.28,2.857,,,,,,132.3648387,9.269,False
18,11/06/2010,64.08,2.83,,,,,,132.4357419,9.269,False
18,18/06/2010,65.96,2.805,,,,,,132.4733333,9.269,False
